loc,specific,lat,lon,date,species,full_id,treatment,pae_ugL,phase,n,colony_a,a_collect_time,colony_b,b_collect_time,combo_time,vial_id,egg_count,phase_time,phase_count,percent_response,2cell,4cell,morecell,respiration,
HIMB,night-shuttle-dock,21.431872,-157.788674,6/28/2022,m-capitata,low-cleave-1,low,0.5,cleave,1,1,6/28/2022 21:05,2,6/28/2022 21:30,6/28/2022 21:50,lc1,24,6/29/2022 3:52,0,0,0,0,0,na,
HIMB,night-shuttle-dock,21.431872,-157.788674,6/28/2022,m-capitata,mid-planula-2,mid,5,planula,2,wild,6/28/2022 22:00,wild,6/28/2022 22:00,6/28/2022 22:10,mp2,,,,,,,,,
HIMB,no-bundle,21.431872,-157.788674,6/28/2022,m-capitata,mid-settle-2,mid,5,settle,2,wild,6/28/2022 22:00,wild,6/28/2022 22:00,6/28/2022 22:10,ms2,,,,,,,,,
HIMB,no-bundle,21.431872,-157.788674,6/28/2022,m-capitata,low-cleave-2,low,0.5,cleave,2,wild,6/28/2022 22:00,wild,6/28/2022 22:00,6/28/2022 22:10,lc2,27,6/29/2022 4:15,6,22.22222222,4,2,0,na,
HIMB,no-bundle,21.431872,-157.788674,6/28/2022,m-capitata,peak-planula-2,peak,150,planula,2,wild,6/28/2022 22:00,wild,6/28/2022 22:00,6/28/2022 22:10,pp2,,,,,,,,,
HIMB,no-bundle,21.431872,-157.788674,6/28/2022,m-capitata,peak-settle-2,peak,150,settle,2,wild,6/28/2022 22:00,wild,6/28/2022 22:00,6/28/2022 22:10,ps2,,,,,,,,,
HIMB,night-shuttle-dock,21.431872,-157.788674,6/29/2022,m-capitata,low-cleave-3,low,0.5,cleave,3,wild,6/29/2022 21:30,wild,6/29/2022 21:30,6/29/2022 22:05,lc3,25,6/30/2022 4:36,0,0,0,0,0,na,
HIMB,night-shuttle-dock,21.431872,-157.788674,6/29/2022,m-capitata,control-planula-3,control,0,planula,3,wild,6/29/2022 21:30,wild,6/29/2022 21:30,6/29/2022 22:05,cp3,,,,,,,,,
HIMB,night-shuttle-dock,21.431872,-157.788674,6/29/2022,m-capitata,control-settle-3,control,0,settle,3,wild,6/29/2022 21:30,wild,6/29/2022 21:30,6/29/2022 22:05,cs3,,,,,,,,,
HIMB,night-shuttle-dock,21.431872,-157.788674,6/29/2022,m-capitata,low-cleave-4,low,0.5,cleave,4,wild,6/29/2022 21:30,wild,6/29/2022 21:30,6/29/2022 22:05,lc4,26,6/30/2022 4:03,0,0,0,0,0,na,
HIMB,night-shuttle-dock,21.431872,-157.788674,6/29/2022,m-capitata,high-planula-3,high,50,planula,3,wild,6/29/2022 21:30,wild,6/29/2022 21:30,6/29/2022 22:05,hp3,,,,,,,,,
HIMB,night-shuttle-dock,21.431872,-157.788674,6/29/2022,m-capitata,high-settle-3,high,50,settle,3,wild,6/29/2022 21:30,wild,6/29/2022 21:30,6/29/2022 22:05,hs3,,,,,,,,,
HIMB,night-shuttle-dock,21.431872,-157.788674,6/28/2022,m-capitata,mid-cleave-1,mid,5,cleave,1,1,6/28/2022 21:05,2,6/28/2022 21:30,6/28/2022 21:50,mc1,47,6/29/2022 4:01,0,0,0,0,0,na,
